,English,German,Frequency
3102,dumped,entsorgt,12878
3103,motion,Antrag,12876
3104,electricity,Strom,12874
3105,centre,Zentrum,12873
3106,murders,Morde,12856
3107,tina,tina,12848
3108,jeremy,jeremy,12837
3109,seal,dort,12835
3110,standard,Standard,12828
3111,ellen,ellen,12826
3112,wore,trug,12803
3113,surrounded,umgeben,12801
3114,struck,angeschlagen,12793
3115,inform,informieren,12791
3116,gentle,gentle,12789
3117,status,Status,12782
3118,purse,Geldbörse,12778
3119,prints,druckt,12777
3120,players,Spieler,12772
3121,charged,geladen,12770
3122,begging,bettelnd,12762
3123,delivered,geliefert,12762
3124,kenny,kenny,12754
3125,buck,Bock,12750
3126,nina,nina,12749
3127,construction,Konstruktion,12745
3128,confirmed,bestätigt,12745
3129,confession,Beichte,12743
3130,trigger,Auslöser,12740
3131,cells,Zellen,12737
3132,frankly,offen gesagt,12735
3133,ali,ali,12733
3134,exit,Ausgang,12730
3135,response,Antwort,12713
3136,cancel,kündigen,12713
3137,argument,Argument,12711
3138,principal,Haupt,12708
3139,turkey,Truthahn,12705
3140,lucas,lucas,12705
3141,clinic,Klinik,12702
3142,greetings,Grüße,12698
3143,neighbors,Nachbarn,12693
3144,vice,Vize,12691
3145,toy,Spielzeug,12691
3146,hannah,hannah,12688
3147,everyday,Alltag,12684
3148,generous,großzügig,12681
3149,gain,gewinnen,12669
3150,idiots,Idioten,12667
3151,holly,Stechpalme,12662
3152,enjoyed,genossen,12659
3153,jungle,Dschungel,12658
3154,link,Link,12651
3155,underground,unterirdisch,12646
3156,smiling,lächelnd,12641
3157,mistress,Herrin,12634
3158,teams,Teams,12632
3159,product,Produkt,12627
3160,beef,Rindfleisch,12622
3161,whispers,flüstert,12620
3162,religious,religiös,12614
3163,presents,präsentiert,12610
3164,identify,identifizieren.,12603
3165,chip,Chip,12593
3166,chffffff,chffffff,12591
3167,surveillance,Überwachung,12588
3168,carlos,carlos,12580
3169,vampire,Vampir,12573
3170,routine,Routine,12567
3171,uses,verwendet,12560
3172,michelle,michelle,12560
3173,underneath,unter,12549
3174,systems,Systeme,12544
3175,temperature,Temperatur,12544
3176,waves,Wellen,12538
3177,tribe,Stamm,12537
3178,brad,brad,12527
3179,deputy,Stellvertreter,12526
3180,sophie,sophie,12522
3181,headquarters,Hauptsitz,12502
3182,equal,gleich,12497
3183,phones,Telefone,12485
3184,ken,ken,12482
3185,reckon,rechnen Sie mit,12477
3186,related,zugehörige,12464
3187,incredibly,unglaublich,12455
3188,chill,chillen,12451
3189,spit,spucken,12451
3190,tracks,Spuren,12442
3191,oscar,oscar,12440
3192,makeup,Make-up,12437
3193,bug,Fehler,12437
3194,sounded,klang,12433
3195,spirits,Spirituosen,12424
3196,nerve,Nerven,12419
3197,divorced,geschieden,12411
3198,stake,Pfahl,12408
3199,port,Hafen,12408
3200,doorbell,Türklingel,12405
3201,worries,Sorgen,12399
3202,nephew,Neffe,12399
3203,miller,miller,12396
3204,units,Einheiten,12393
3205,just-,nur-,12385
3206,proceed,fortfahren,12385
3207,landing,Landung,12381
3208,traitor,Verräter,12377
3209,outfit,Outfit,12374
3210,chloe,chloe,12356
3211,bail,Kaution,12355
3212,fields,Felder,12355
3213,patience,Geduld,12344
3214,recording,Aufnahme,12340
3215,foolish,töricht,12331
3216,loaded,geladen,12323
3217,tokyo,tokio,12321
3218,davis,davis,12314
3219,costume,benutzerdefinierte,12310
3220,wayne,wayne,12303
3221,injured,verletzt,12301
3222,somethin,irgendetwas,12298
3223,ian,ian,12295
3224,pet,Haustier,12290
3225,cage,Käfig,12288
3226,digging,Graben,12286
3227,spain,spanien,12268
3228,seats,Sitze,12268
3229,awkward,peinlich,12261
3230,cleaned,gereinigt,12258
3231,pattern,Muster,12253
3232,filthy,dreckig,12252
3233,visiting,Besuch,12251
3234,jews,juden,12242
3235,answering,Antwort an,12239
3236,concentrate,Konzentrat,12235
3237,someplace,Irgendwo,12231
3238,citizens,Bürger,12218
3239,aim,Ziel,12200
3240,nancy,nancy,12199
3241,affairs,affairs,12197
3242,thick,dick,12182
3243,sport,Sport,12181
3244,basic,grundlegend,12179
3245,electric,elektrisch,12178
3246,pleasant,angenehm,12170
3247,cliff,Klippe,12168
3248,nail,Nagel,12157
3249,russell,russell,12156
3250,environment,Umwelt,12153
3251,western,westlich,12152
3252,average,Durchschnitt,12149
3253,ease,erleichtern,12143
3254,raped,vergewaltigt,12143
3255,interrupt,unterbrechen,12131
3256,judy,Judy,12130
3257,satisfied,zufrieden,12125
3258,beep,Piep,12122
3259,starving,hungern,12109
3260,documents,Dokumente,12105
3261,anniversary,Jahrestag,12102
3262,beth,beth,12101
3263,election,Wahl,12101
3264,warrior,Krieger,12100
3265,r,r,12094
3266,forth,weiter,12088
3267,fetch,abrufen.,12088
3268,banks,Banken,12085
3269,placed,platziert,12083
3270,timing,Zeitmessung,12076
3271,stones,Steine,12075
3272,complex,komplex,12070
3273,frozen,frozen,12069
3274,replace,ersetzen.,12061
3275,prayer,Gebet,12060
3276,skip,überspringen,12054
3277,angeles,angeles,12054
3278,guilt,Schuld,12049
3279,tune,abstimmen.,12029
3280,woo,woo,12029
3281,actions,Aktionen,12026
3282,conscience,Bewusstsein,12009
3283,officially,offiziell,12006
3284,martha,martha,11993
3285,machines,Maschinen,11992
3286,smaller,kleiner,11983
3287,determined,bestimmt,11982
3288,blown,geblasen,11977
3289,hail,hagel,11974
3290,unhappy,unglücklich,11973
3291,booth,Stand,11959
3292,pour,für,11943
3293,berlin,berlin,11940
3294,cleared,geklärt,11934
3295,packed,verpackt,11933
3296,wrap,wickeln,11902
3297,randy,randy,11899
3298,behalf,für,11897
3299,reasonable,vernünftig,11890
3300,trunk,Kofferraum,11886
3301,homes,Häuser,11884
3302,festival,Festival,11881
3303,tradition,Tradition,11880
3304,cigarettes,Zigaretten,11879
3305,le,le,11871
3306,beside,neben,11869
3307,harvey,harvey,11868
3308,motive,Motiv,11865
3309,beings,Wesen,11863
3310,bishop,Bischof,11840
3311,dealer,dealer,11835
3312,defendant,Angeklagter,11828
3313,backup,Backup,11826
3314,wounds,Wunden,11823
3315,ouch,ouch,11821
3316,ann,ann,11817
3317,nearby,in der Nähe,11814
3318,drank,trinken,11813
3319,effects,Auswirkungen,11810
3320,jonathan,jonathan,11808
3321,dennis,dennis,11805
3322,benefit,profitieren,11803
3323,adventure,Abenteuer,11801
3324,p,p,11798
3325,territory,Gebiet,11798
3326,apology,Entschuldigung,11782
3327,dylan,dylan,11779
3328,unlike,im Gegensatz zu,11776
3329,owns,besitzt,11769
3330,boxes,Boxen,11765
3331,thus,also,11765
3332,clay,Ton,11764
3333,developed,entwickelt,11751
3334,busted,kaputt,11751
3335,pipe,Rohr,11744
3336,gray,grau,11737
3337,no.,Nein.,11737
3338,goods,Waren,11729
3339,favourite,Favorit,11723
3340,salad,Salat,11723
3341,loyal,treu,11719
3342,atmosphere,Atmosphäre,11717
3343,eva,eva,11699
3344,freaking,verdammt,11684
3345,dropping,fallen lassen.,11682
3346,strangers,Fremde,11679
3347,mouse,Maus,11678
3348,downtown,Stadtzentrum,11672
3349,francisco,francisco,11667
3350,heroes,Helden,11666
3351,pit,Grube,11659
3352,rotten,verrottende,11650
3353,paradise,Paradies,11646
3354,meantime,Inzwischen,11641
3355,jess,jess,11639
3356,organization,Organisation,11633
3357,hills,hügel,11630
3358,exam,Prüfung,11626
3359,cock,Hahn,11621
3360,fairy,Fee,11619
3361,earl,earl,11608
3362,comment,wie,11606
3363,activity,Tätigkeit,11601
3364,frame,Rahmen,11599
3365,knight,ritter,11586
3366,testing,Testen,11584
3367,habit,Gewohnheit,11582
3368,shelter,Unterkunft,11577
3369,flow,Durchfluss,11576
3370,jennifer,Jennifer,11575
3371,holes,Löcher,11573
3372,prevent,verhindern.,11565
3373,anthony,anthony,11562
3374,lend,lend,11562
3375,cooper,Küfer,11561
3376,figures,Zahlen,11555
3377,boston,boston,11555
3378,sample,Muster,11542
3379,strip,Streifen,11541
3380,landed,gelandet,11536
3381,buzzing,Brummen,11527
3382,monk,Mönch,11524
3383,slightly,leicht,11509
3384,produce,produzieren,11505
3385,annoying,lästige,11504
3386,judgment,Urteil,11504
3387,laundry,Wäscherei,11500
3388,ron,ron,11490
3389,lousy,lausig,11488
3390,souls,Seelen,11484
3391,existence,Existenz,11484
3392,belly,Bauch,11481
3393,tries,versucht,11481
3394,foster,pflegen,11477
3395,returning,zurückkehrend,11475
3396,answered,antwortete,11474
3397,ward,Station,11471
3398,plants,Pflanzen,11467
3399,actress,Schauspielerin,11459
3400,chairman,Vorsitzender,11458
3401,individual,individuell,11456
3402,hopes,hofft,11454
3403,tattoo,Tätowierung,11454
3404,fence,Zaun,11448
3405,sink,Waschbecken,11442
3406,punk,punk,11441
3407,confident,selbstbewusst,11435
3408,yay,juhu,11434
3409,mistaken,irrtümlich,11431
3410,limit,Grenze,11428
3411,bothering,lästig,11419
3412,st,st,11417
3413,uncomfortable,Unbequem,11416
3414,wednesday,mittwochs,11409
3415,gifts,Geschenke,11409
3416,policeman,Polizist,11407
3417,na,na,11402
3418,precisely,genau,11400
3419,lawyers,Rechtsanwälte,11400
3420,greek,Griechisch,11399
3421,merely,lediglich,11393
3422,criminals,Kriminelle,11385
3423,underwear,Unterwäsche,11384
3424,hoped,gehofft,11383
3425,earned,verdient,11375
3426,reveal,enthüllen,11371
3427,appeared,erschienen,11367
3428,derek,Derek,11365
3429,heavens,himmel,11364
3430,personality,Persönlichkeit,11360
3431,batman,Batman,11346
3432,virginia,virginia,11345
3433,wives,Ehefrauen,11339
3434,colour,Farbe,11335
3435,worker,Arbeiter,11335
3436,pope,Papst,11333
3437,instructions,Anweisungen,11315
3438,intelligent,intelligent,11315
3439,worrying,beunruhigend,11310
3440,vince,vince,11306
3441,comin,kommend,11306
3442,cried,rief,11304
3443,traveling,Reisen,11303
3444,bells,Glocken,11300
3445,x,x,11288
3446,impact,Auswirkungen,11285
3447,robbed,beraubt,11281
3448,relief,Relief,11277
3449,host,Gastgeber,11257
3450,footage,Bildmaterial,11252
3451,odds,Quoten,11251
3452,patrol,Streife,11246
3453,circus,Zirkus,11246
3454,mud,Schlamm,11237
3455,captured,gefangen,11236
3456,lessons,Unterricht,11223
3457,occasion,Anlass,11222
3458,sets,setzt,11212
3459,pulse,Puls,11206
3460,ad,ad,11188
3461,invented,erfunden,11188
3462,diamonds,Diamanten,11183
3463,matthew,matthew,11171
3464,auntie,Tante,11170
3465,cloud,Wolke,11170
3466,francis,francis,11167
3467,angels,engel,11166
3468,hers,ihre,11164
3469,classes,Klassen,11157
3470,mm-hm,mm-hm,11152
3471,signature,Unterschrift,11151
3472,complain,beschweren,11145
3473,blah,blah,11131
3474,monitor,überwachen,11131
3475,options,Optionen,11128
3476,claims,Ansprüche,11128
3477,flies,Fliegen,11127
3478,pat,pat,11125
3479,britain,britain,11123
3480,hid,versteckt,11121
3481,wailing,Wehklagen,11120
3482,listened,zugehört,11120
3483,countries,Länder,11120
3484,vic,vic,11114
3485,yell,schreien,11112
3486,rats,Ratten,11108
3487,wondered,fragte sich,11106
3488,smooth,glatt,11104
3489,resist,widerstehen,11103
3490,companies,Unternehmen,11093
3491,fantasy,Fantasie,11084
3492,passport,Reisepass,11077
3493,pitch,Stellplatz,11076
3494,hammer,Hammer,11070
3495,homicide,Tötung,11059
3496,casey,casey,11055
3497,holds,hält,11054
3498,flew,flog,11053
3499,jacob,jakob,11046
3500,noon,Mittag,11041
3501,helicopter,Hubschrauber,11036
3502,dishes,Gerichte,11034
3503,spin,Spin,11033
3504,charm,Charme,11031
3505,slap,Ohrfeige,11030
3506,apply,anwenden.,11022
3507,fools,Narren,11015
3508,screeching,Kreischen,11008
3509,discover,entdecken,11004
3510,previous,vorherige,11004
3511,kit,Bausatz,10994
3512,authorities,Behörden,10984
3513,moaning,Stöhnen,10982
3514,photograph,photograph,10980
3515,sales,Salze,10980
3516,fifty,fünfzig,10980
3517,mickey,mickey,10980
3518,beneath,unter,10977
3519,farewell,Abschied nehmen,10970
3520,clouds,Wolken,10969
3521,slipped,verrutscht,10966
3522,represent,vertreten,10961
3523,deaf,gehörlos,10960
3524,facing,gegenüber,10959
3525,offense,offense,10958
3526,citizen,Bürger,10957
3527,clown,Clown,10953
3528,snap,schnappen,10950
3529,messing,Durcheinander,10941
3530,hood,Haube,10939
3531,twelve,zwölf,10937
3532,interests,Interessen,10937
3533,cheated,betrogen,10936
3534,liz,liz,10931
3535,informed,informiert,10930
3536,humanity,Menschlichkeit,10924
3537,producer,Hersteller,10917
3538,technically,technisch,10906
3539,accounts,Konten,10905
3540,extreme,extrem,10883
3541,gettin,.,10881
3542,cia,cia,10878
3543,pays,Land,10873
3544,profile,Profil,10871
3545,oxygen,Sauerstoff,10866
3546,jeez,"Mensch,",10865
3547,gene,Gen,10861
3548,shed,Schuppen,10853
3549,minor,geringfügig,10845
3550,ex,ex,10843
3551,theatre,Theater,10839
3552,scientific,wissenschaftlich,10832
3553,lovers,Liebhaber,10829
3554,chaos,chaos,10829
3555,l.a.,l.a.,10825
3556,rocket,Rakete,10823
3557,math,Mathe,10813
3558,stubborn,hartnäckig,10808
3559,august,August,10804
3560,oi,oi,10797
3561,chips,Chips,10796
3562,intense,intensiv,10791
3563,grey,grau,10781
3564,talkin,redet,10780
3565,terrorist,Terrorist,10776
3566,angle,Winkel,10774
3567,invitation,Einladung,10769
3568,gus,gus,10764
3569,gambling,Glücksspiel,10762
3570,respond,bitte antworten Sie auf,10752
3571,thirty,dreißig,10739
3572,procedure,Verfahren,10738
3573,absolute,absolut,10736
3574,investigate,Untersuchen Sie,10736
3575,tragedy,Tragödie,10734
3576,stable,stabil,10734
3577,session,Sitzung,10729
3578,capture,erfassen,10729
3579,marrying,Heiraten,10728
3580,ripped,zerrissen,10724
3581,attacks,Angriffe,10721
3582,stretch,dehnen,10715
3583,bush,Busch,10714
3584,dates,Daten,10704
3585,unable,unfähig,10699
3586,gates,Tore,10698
3587,mars,März,10696
3588,artists,Künstler,10695
3589,increase,erhöhen.,10691
3590,tastes,schmeckt,10690
3591,cared,betreute,10682
3592,bottles,Flaschen,10679
3593,highest,höchste,10677
3594,whirring,Schwirren,10671
3595,meanwhile,Inzwischen,10669
3596,nate,nate,10667
3597,grabbed,ergriffen,10666
3598,pigs,Schweine,10660
3599,chop,Kotelett,10659
3600,olivia,olivia,10658
3601,wheels,Räder,10656
3602,shocked,schockiert,10655
3603,reverend,Reverend,10629
3604,commercial,kommerziell,10620
3605,escort,Begleitperson,10611
3606,engagement,Engagement,10606
3607,corpse,Leichnam,10590
3608,louise,louise,10589
3609,worthy,würdig,10589
3610,scale,scale,10583
3611,beats,schlägt,10579
3612,williams,williams,10566
3613,threatening,bedrohlich,10564
3614,exists,existiert,10560
3615,academy,akademie,10557
3616,acts,handelt,10546
3617,hop,Hopfen,10539
3618,judges,Richter,10539
3619,furniture,Möbel,10537
3620,shared,gemeinsam genutzt,10535
3621,ralph,ralph,10531
3622,consequences,Folgen,10525
3623,engineer,Ingenieur,10519
3624,schools,Schulen,10519
3625,softly,sanft,10517
3626,bombs,Bomben,10516
3627,caroline,caroline,10510
3628,shark,Hai,10509
3629,transport,transportieren,10509
3630,population,Bevölkerung,10506
3631,succeed,Erfolg haben,10501
3632,creepy,unheimlich,10490
3633,sneak,schleichen,10487
3634,studies,Studien,10484
3635,destruction,Zerstörung,10474
3636,keith,keith,10473
3637,protected,geschützt,10471
3638,monsters,Ungeheuer,10470
3639,joining,Beitritt zu,10462
3640,punished,bestraft,10459
3641,lightning,Blitzschlag,10457
3642,malcolm,malcolm,10456
3643,shell,Shell,10456
3644,fascinating,faszinierend,10449
3645,chamber,Kammer,10441
3646,ethan,ethan,10420
3647,romance,Romanze,10416
3648,instance,Instanz,10402
3649,jumping,Springen,10401
3650,groups,Gruppen,10400
3651,exhausted,erschöpft,10400
3652,testify,bezeugen,10398
3653,studied,studierte,10396
3654,walker,Walker,10395
3655,pin,Stift,10394
3656,imagined,vorgestellt,10382
3657,drill,bohren,10381
3658,investigating,untersuchen.,10378
3659,ye,ihr,10376
3660,experienced,erfahren,10374
3661,elena,elena,10374
3662,necklace,Halskette,10371
3663,loyalty,Loyalität,10367
3664,junk,junk,10365
3665,cole,cole,10362
3666,cries,weint,10361
3667,stanley,stanley,10355
3668,rita,rita,10355
3669,southern,südlich,10355
3670,blocks,Blöcke,10353
3671,emotions,Emotionen,10349
3672,begun,begonnen,10348
3673,maya,maya,10344
3674,liver,Leber,10323
3675,serving,unter,10323
3676,matches,passt zu,10321
3677,surgeon,Chirurg,10321
3678,granted,gewährt,10313
3679,jazz,Jazz,10307
3680,july,juli,10306
3681,supplies,liefert,10305
3682,deeper,tiefer,10304
3683,typical,typisch,10300
3684,kicking,Kicken,10290
3685,obey,gehorchen,10289
3686,dancer,dancer,10285
3687,remote,remote,10285
3688,daughters,Töchter,10281
3689,moron,Schwachkopf,10281
3690,latin,lateinisch,10279
3691,teachers,Lehrer,10278
3692,toby,toby,10275
3693,sandy,sandig,10272
3694,dragged,geschleppt,10271
3695,strategy,Strategie,10271
3696,parent,Elternteil,10270
3697,jin,jin,10266
3698,album,Album,10265
3699,compared,verglichen,10262
3700,rubbish,Müll,10251
3701,helpful,hilfreich,10235
3702,powder,Pulver,10230
3703,sync,.,10229
3704,bum,Penner,10223
3705,passes,geht,10214
3706,joan,joan,10209
3707,fort,Fort,10207
3708,choices,Auswahlmöglichkeiten,10206
3709,alley,Gasse,10205
3710,supper,Abendbrot,10204
3711,penis,Penis,10200
3712,alibi,Alibi,10199
3713,sammy,sammy,10181
3714,pole,Feld,10181
3715,coke,Koks,10173
3716,scientist,Wissenschaftlerin,10172
3717,fighter,Kämpfer,10168
3718,highway,Autobahn,10165
3719,blade,Blatt,10162
3720,alpha,alpha,10153
3721,diet,Diät,10152
3722,liquor,Spirituosen,10148
3723,jet,jet,10145
3724,widow,Witwe,10144
3725,liberty,Freiheit,10143
3726,philip,philip,10141
3727,moral,moralisch,10138
3728,carrie,carrie,10136
3729,award,Auszeichnung,10133
3730,grief,grief,10126
3731,thirsty,durstig,10121
3732,ashley,ashley,10103
3733,random,zufällig,10100
3734,suspects,Verdächtige,10093
3735,intention,Absicht,10092
3736,julian,julian,10090
3737,active,aktiv,10082
3738,tools,Werkzeuge,10080
3739,driven,angetrieben,10080
3740,trauma,trauma,10080
3741,headache,Kopfschmerzen,10077
3742,safely,sicher,10062
3743,alexander,alexander,10055
3744,knee,Knie,10054
3745,lads,Burschen,10053
3746,novel,Roman,10047
3747,conversations,Unterhaltungen,10039
3748,waters,Gewässer,10038
3749,lookin,siehe,10035
3750,invisible,unsichtbar,10026
3751,internal,intern,10024
3752,peaceful,friedlich,10020
3753,humming,Brummen,10014
3754,washed,gewaschen,10014
3755,drives,Antriebe,10008
3756,talented,talentiert,10001
3757,li,li,10001
3758,aid,Hilfe,10000
3759,elephant,Elefant,9999
3760,troubles,Störungen,9997
3761,core,Kernstück,9995
3762,serial,Serie,9992
3763,s-,s-,9991
3764,painted,gemalt,9991
3765,divine,göttlich,9988
3766,jam,Marmelade,9987
3767,goat,Ziege,9986
3768,opera,Oper,9985
3769,thieves,Diebe,9981
3770,guessing,guessing,9970
3771,objection,Einspruch,9969
3772,whiskey,Whiskey,9965
3773,florida,florida,9951
3774,resistance,Widerstand,9940
3775,dressing,Abrichten,9939
3776,attached,beigefügt,9936
3777,aaron,aaron,9936
3778,brief,kurz,9934
3779,punish,bestrafen,9928
3780,eternal,ewig,9926
3781,lois,Gesetze,9923
3782,required,erforderlich,9922
3783,victoria,Sieg,9918
3784,fabulous,märchenhaft,9915
3785,twins,Zwillinge,9912
3786,characters,Zeichen,9894
3787,cooked,gekocht,9893
3788,ln,ln,9889
3789,ruth,ruth,9888
3790,dreamed,geträumt,9887
3791,arts,Kunst,9884
3792,naughty,Frechheit,9883
3793,stabbed,erstochen,9876
3794,tend,pflegen,9876
3795,diane,diane,9873
3796,tap,tippen Sie auf,9872
3797,soap,Seife,9866
3798,locker,lose,9862
3799,development,Entwicklung,9858
3800,images,Bilder,9853
3801,prick,piksen,9850
3802,global,weltweit,9847
3803,string,String,9846
3804,bitter,bitter,9844
3805,sharing,Teilen,9836
3806,corn,Mais,9835
3807,craig,craig,9831
3808,fits,passt,9829
3809,tent,Zelt,9824
3810,forms,Formulare,9824
3811,votes,Stimmen,9819
3812,harold,harold,9813
3813,propose,vorschlagen,9811
3814,monica,monica,9803
3815,constantly,ständig,9803
3816,granny,Oma,9802
3817,nicely,schön,9801
3818,nerves,Nerven,9793
3819,arguing,streitend,9786
3820,abuse,Missbrauch,9785
3821,relatives,Verwandte,9785
3822,survival,Überleben,9781
3823,gloves,Handschuhe,9781
3824,tracking,Verfolgung,9779
3825,zoe,zoe,9777
3826,u,u,9776
3827,bend,bend,9774
3828,review,Überprüfung,9771
3829,connect,verbinden,9771
3830,separated,getrennt,9766
3831,elder,ältere Menschen,9765
3832,beard,Bart,9765
3833,admiral,Admiral,9761
3834,diana,diana,9761
3835,salary,Gehalt,9761
3836,areas,Bereiche,9756
3837,disturb,stören.,9754
3838,pro,pro,9752
3839,maintain,pflegen.,9750
3840,solved,gelöst,9747
3841,wealth,Reichtum,9744
3842,bitches,Hündinnen,9743
3843,possession,Besitz,9739
3844,sang,die,9732
3845,gimme,Geben Sie mir,9723
3846,plates,Platten,9723
3847,shoulders,Schultern,9722
3848,burnt,verbrannt,9718
3849,recorded,aufgenommen,9717
3850,upper,obere,9717
3851,counts,zählt,9710
3852,tale,wie,9709
3853,profit,Gewinn,9707
3854,colleague,Kollege,9706
3855,warehouse,Lagerhaus,9704
3856,hostage,Geisel,9703
3857,shore,Landseite,9699
3858,porn,Porno,9695
3859,miami,miami,9686
3860,fifteen,fünfzehn,9686
3861,visitors,Besucher,9685
3862,bo,bo,9684
3863,net,Netz,9683
3864,insult,Beleidigung,9678
3865,owen,owen,9676
3866,cities,Städte,9674
3867,causing,verursacht,9673
3868,lemon,Zitrone,9672
3869,heal,heilen,9672
3870,banging,Klopfen,9669
3871,honeymoon,Flitterwochen,9667
3872,appeal,Beschwerde,9667
3873,marshall,marshall,9666
3874,critical,kritisch,9665
3875,creating,Erstellung von,9663
3876,scotland,schottland,9662
3877,crane,Kran,9662
3878,enormous,riesig,9661
3879,testimony,Zeugenaussage,9660
3880,praise,praise,9659
3881,fights,kämpft,9658
3882,indians,Indianer,9655
3883,commission,Kommission,9655
3884,growls,knurrt,9653
3885,nicole,nicole,9653
3886,sins,Sünden,9652
3887,fraud,Betrug,9650
3888,branch,Zweigstelle,9647
3889,happily,fröhlich,9644
3890,bout,über,9636
3891,covering,Abdeckung,9636
3892,occurred,aufgetreten,9635
3893,beans,Bohnen,9625
3894,raw,roh,9624
3895,muscle,Muskel,9624
3896,pages,Seiten,9619
3897,tense,angespannt,9619
3898,relationships,Beziehungen,9616
3899,management,Management,9616
3900,assignment,Auftrag,9614
3901,blonde,blond,9611
3902,catching,fangen,9604
3903,exposed,ausgesetzt,9599
3904,canada,kanada,9598
3905,dont,davon,9592
3906,han,han,9588
3907,von,von,9576
3908,comedy,Komödie,9568
3909,marco,Rahmenwerk,9553
3910,stroke,Schlaganfall,9552
3911,whistling,pfeifend,9544
3912,buildings,Gebäude,9543
3913,shaking,Schütteln,9542
3914,p.m.,p.m.,9541
3915,facility,Einrichtung,9540
3916,appropriate,geeignet.,9538
3917,remarkable,bemerkenswert,9536
3918,transferred,übertragen,9534
3919,drawn,gezeichnet,9534
3920,tits,tits,9533
3921,clicking,Klicken Sie auf,9523
3922,symbol,Symbol,9522
3923,motor,Motor,9519
3924,employees,Mitarbeiter,9514
3925,ambassador,Botschafter,9511
3926,mothers,Mütter,9508
3927,pile,Stapel,9506
3928,feeding,Fütterung,9504
3929,soda,Soda,9503
3930,checks,prüft,9502
3931,bears,Bären,9502
3932,cookies,Cookies,9500
3933,slut,Ende,9499
3934,awfully,furchtbar,9494
3935,stepped,gestaffelt,9493
3936,toys,Spielzeug,9493
3937,levels,Ebenen,9492
3938,differently,anders,9490
3939,magnificent,prächtige,9489
3940,steak,Steak,9481
3941,tube,Rohr,9480
3942,leaders,Leiter,9479
3943,superior,top,9476
3944,herr,herr,9476
3945,pan,pan,9472
3946,expression,Ausdruck,9469
3947,currently,derzeit,9466
3948,throne,Thron,9466
3949,deadly,tödlich,9463
3950,bee,Biene,9457
3951,tooth,Zahn,9454
3952,depressed,deprimiert,9454
3953,potatoes,Kartoffeln,9454
3954,wicked,böse,9453
3955,resources,Ressourcen,9453
3956,native,einheimische,9450
3957,centuries,Jahrhunderte,9449
3958,karl,Mitstreiter,9449
3959,poetry,Poesie,9444
3960,multiple,mehrere,9443
3961,cable,Kabel,9442
3962,shortly,in Kürze,9438
3963,buzz,Buzz,9421
3964,socks,Socken,9410
3965,fingerprints,Fingerabdrücke,9410
3966,goddess,Göttin,9409
3967,chin,Kinn,9408
3968,anxious,ängstlich,9400
3969,september,September,9398
3970,colors,colors,9391
3971,basketball,Basketball,9388
3972,promises,verspricht,9386
3973,explained,erklärt,9384
3974,appearance,Aussehen,9383
3975,musical,musikalisch,9374
3976,sends,sends,9370
3977,slide,Dia,9369
3978,aii,aii,9364
3979,shawn,shawn,9363
3980,ultimate,ultimativ,9361
3981,pork,Schweinefleisch,9361
3982,communication,Kommunikation,9359
3983,payment,Zahlung,9359
3984,structure,Struktur,9354
3985,paperwork,Papierkram,9351
3986,obsessed,besessen,9351
3987,lazy,faule,9350
3988,russians,Russen,9347
3989,actors,Schauspieler,9346
3990,squeeze,quetschen,9341
3991,magical,magisch,9325
3992,colleagues,Kollegen,9325
3993,admire,bewundern,9324
3994,madness,Wahnsinn,9323
3995,roads,Straßen,9321
3996,entry,Eintrag,9313
3997,injury,Verletzung,9308
3998,burden,burden,9307
3999,racing,Rennsport,9305
4000,manner,Art und Weise,9302
4001,freezing,Gefrieren,9301
4002,bits,Bits,9298
4003,norman,norman,9297
4004,mount,montieren.,9294
4005,battery,Batterie,9292
4006,dessert,dessert,9291
4007,pound,Pfund,9287
4008,visited,besucht,9282
4009,motel,Motel,9273
4010,rumbling,Rumpeln,9271
4011,cinema,Kino,9270
4012,fond,liebevoll,9269
4013,halfway,auf halbem Weg,9265
4014,rifle,Gewehr,9262
4015,reception,Empfang,9262
4016,statue,Statue,9260
4017,fridge,Kühlschrank,9255
4018,brick,Ziegelstein,9246
4019,abandon,aufgeben,9245
4020,lap,Runde,9239
4021,natalie,natalie,9237
4022,wars,Kriege,9237
4023,recommend,empfehlen,9235
4024,brush,Bürste,9233
4025,nelson,nelson,9233
4026,pill,Pille,9232
4027,concept,Konzept,9230
4028,w,w,9227
4029,delay,Verzögerung,9225
4030,quarters,Quartiere,9221
4031,korea,Korea,9216
4032,janet,janet,9214
4033,rub,reiben,9213
4034,mall,Einkaufszentrum,9209
4035,soil,Boden,9208
4036,complaint,Beschwerde,9207
4037,sail,Segel,9194
4038,baker,Bäcker,9192
4039,coughs,hustet,9188
4040,bucket,Eimer,9186
4041,description,Beschreibung,9184
4042,badge,Ausweis,9181
4043,measure,Maßnahme,9181
4044,hip,hip,9179
4045,function,Funktion,9179
4046,indistinctly,undeutlich,9178
4047,harris,harris,9178
4048,foundation,Stiftung,9176
4049,labor,Arbeit,9168
4050,willie,willie,9166
4051,waiter,Kellner,9166
4052,homeless,Obdachlos,9162
4053,proved,bewiesen,9160
4054,unfortunate,Unglücklicherweise,9155
4055,log,Protokoll,9145
4056,meetings,Treffen,9143
4057,giggles,kichert,9140
4058,combat,Kampf,9133
4059,poem,Gedicht,9133
4060,polish,polnisch,9131
4061,handed,übergeben,9130
4062,mia,mia,9127
4063,weed,Unkraut,9124
